ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,Estimates Start After
IND,India,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11.365,13.115,7.887,11.869,8.322,5.556,8.731,8.799,9.385,6.159,12.824,13.482,9.861,7.283,10.273,9.962,9.432,6.842,13.127,3.425,3.818,4.315,3.975,3.857,3.831,4.411,6.945,5.94,9.193,10.604,9.534,9.443,2014
IDN,Indonesia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.017,12.244,9.481,11.787,10.339,4.731,5.828,9.273,8.044,6.418,7.843,9.369,7.506,9.688,8.518,9.432,8.379,6.194,58.02,20.75,3.773,11.502,11.78,6.773,6.062,10.459,13.104,6.662,9.777,5.047,5.14,5.344,2014
IRN,Islamic Republic of Iran,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",20.627,24.199,18.681,19.742,12.578,4.378,23.722,27.708,28.9,17.401,9,20.588,24.39,22.549,35.2,49.112,23.016,17.419,18.132,20,12.791,11.447,15.87,15.605,15.282,10.346,11.888,18.444,25.316,10.788,12.365,21.492,2014
IRQ,Iraq,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,36.959,53.248,30.821,2.668,-2.194,2.445,5.604,2014
IRL,Ireland,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.345,20.243,17.189,10.397,8.636,5.468,3.041,3.154,2.166,3.99,3.357,3.132,3.15,1.418,2.366,2.518,2.158,1.254,2.13,2.469,5.254,3.986,4.725,3.995,2.3,2.18,2.7,2.873,3.108,-1.706,-1.572,1.186,2014
ISR,Israel,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",316.595,116.809,120.365,145.637,373.821,304.584,48.155,19.853,16.231,20.249,17.173,19.006,11.948,10.944,12.342,10.043,11.277,9.001,5.435,5.194,1.125,1.116,5.687,0.67,-0.414,1.329,2.107,0.516,4.594,3.317,2.694,3.45,2014
ITA,Italy,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",21.8,19.51,16.46,14.7,10.74,8.969,5.82,4.72,5.09,6.245,6.395,6.222,5.003,4.497,4.164,5.393,3.983,1.895,1.98,1.657,2.575,2.323,2.61,2.812,2.274,2.206,2.217,2.038,3.5,0.764,1.639,2.902,2014
JAM,Jamaica,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17.984,9.172,6.83,16.657,31.255,29.7,24.4,11.2,8.2,16.12,24.779,51.071,77.297,22.07,35.063,19.909,26.407,9.658,8.632,5.982,4.593,9.509,8.224,9.942,14.842,13.419,8.924,9.17,22.007,9.578,12.613,7.526,2014
JPN,Japan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.808,4.918,2.72,1.874,2.292,2.037,0.604,0.139,0.667,2.277,3.04,3.298,1.706,1.264,0.687,-0.125,0.131,1.76,0.667,-0.328,-0.651,-0.804,-0.9,-0.25,-0.01,-0.274,0.243,0.061,1.378,-1.343,-0.72,-0.287,2014
JOR,Jordan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.909,7.65,7.614,4.953,4.045,2.808,--,-0.21,6.705,25.668,16.192,8.155,4.017,3.304,3.524,2.353,6.501,3.038,3.079,0.598,0.674,1.768,1.835,1.627,3.365,3.491,6.255,4.744,13.971,-0.739,4.846,4.162,2013
KAZ,Kazakhstan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,662.28","1,401.99",176.275,39.129,17.441,7.292,8.408,13.331,8.375,5.854,6.452,6.886,7.541,8.575,10.783,17.149,7.296,7.126,8.329,2013
KEN,Kenya,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.866,7.895,13.821,11.603,20.667,11.398,10.284,13.007,4.804,7.617,11.2,19.104,27.332,45.979,28.814,1.554,8.862,11.924,6.716,5.753,9.955,5.824,2.156,5.983,8.381,7.823,6.041,4.265,15.101,10.552,4.309,14.022,2014
KIR,Kiribati,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",16.1,7.7,5.486,6.311,5.442,4.491,6.607,-10.211,1.135,5.609,3.951,6.077,4.217,6.109,4,4.1,-1.667,2.554,3.668,1.755,0.377,6.002,3.176,1.633,-0.74,-0.351,-0.997,3.593,13.665,9.816,-3.9,1.497,2014
KOR,Korea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",28.697,21.352,7.19,3.422,2.274,2.459,2.75,3.048,7.146,5.701,8.573,9.334,6.212,4.801,6.266,4.481,4.925,4.439,7.513,0.813,2.259,4.067,2.762,3.515,3.591,2.754,2.242,2.535,4.674,2.757,2.939,4.026,2014
UVK,Kosovo,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.662,3.565,0.3,-1.055,-1.394,0.622,4.358,9.35,-2.41,3.481,7.336,2013
KWT,Kuwait,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.928,7.375,7.777,4.718,1.177,1.49,0.954,0.655,1.468,3.342,15.798,8.132,-0.323,0.603,2.374,2.533,3.038,0.809,0.6,3.083,1.569,1.448,0.797,0.986,1.257,4.12,3.092,5.465,6.3,4.61,4.496,4.905,2014
KGZ,Kyrgyz Republic,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"1,086.19",180.683,43.453,31.965,23.439,10.448,35.906,18.71,6.913,2.055,3.081,4.109,4.338,5.55,10.204,24.53,6.849,7.759,16.587,2014
LAO,Lao P.D.R.,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",188.816,33.7,70.381,62.511,27.175,114.698,35.002,6.112,14.8,59.7,-26.317,13.439,9.847,5.65,7.67,19.075,19.147,19.544,90.141,128.409,23.248,7.813,10.645,15.476,10.456,7.169,6.801,4.524,7.628,0.034,5.984,7.581,2013
LVA,Latvia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,109.2,35.9,25,17.6,8.058,4.294,2.128,2.637,2.524,1.955,2.941,6.188,6.897,6.571,10.083,15.252,3.26,-1.224,4.223,2013
LBN,Lebanon,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",23.9,19.3,18.6,7.2,17.6,69.4,95.4,487.2,155,72.2,68.9,50.115,99.847,24.737,8.235,10.282,8.879,7.748,4.549,0.241,-0.356,-0.367,1.759,1.268,1.672,-0.718,5.57,4.057,10.758,1.195,3.983,4.971,2013
LSO,Lesotho,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19.629,12.214,12.415,17.549,10.811,13.24,18.154,11.632,11.586,14.843,11.468,17.855,17.044,13.773,7.249,9.961,9.059,8.549,7.776,8.645,6.132,7.968,12.166,6.401,4.649,3.648,6.337,9.177,10.688,5.852,3.382,5.986,2013
LBR,Liberia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.263,12.149,14.16,10.33,3.555,6.945,9.514,11.391,17.49,7.427,7.291,8.487,2013
LBY,Libya,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",14.286,13.194,13.804,10.512,12.439,9.111,3.38,4.423,3.131,4.464,0.721,11.7,9.45,7.474,10.671,8.342,3.996,3.586,3.719,2.574,-2.907,-8.839,-9.863,-2.057,1.252,2.658,1.465,6.211,10.401,2.448,2.458,15.902,2014
LTU,Lithuania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.081,1.551,0.344,-1.082,1.163,2.658,3.788,5.82,11.088,4.164,1.19,4.124,2013
LUX,Luxembourg,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.3,8.073,9.357,8.669,5.637,14.779,0.3,-0.1,1.4,3.4,3.7,3.1,3.2,3.6,2.2,1.9,1.163,1.384,0.959,1.018,3.789,2.409,2.056,2.538,3.227,3.762,2.963,2.655,4.091,0.011,2.798,3.722,2014
MKD,FYR Macedonia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,338.684,126.4,15.8,2.3,2.6,0.869,-0.349,6.39,5.54,2.177,1.199,-0.433,-0.57,3.272,2.794,7.219,-0.643,1.698,3.897,2014
MDG,Madagascar,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.278,30.457,31.907,19.469,9.72,10.566,14.492,15.461,26.338,9.017,11.859,8.54,14.567,9.99,38.992,49.036,19.761,4.492,6.21,8.07,10.661,7.917,16.499,-1.704,13.956,18.364,10.766,10.288,9.297,8.954,9.247,9.483,2014
MWI,Malawi,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",19.19,12,9.524,13.768,19.745,10.638,14.183,25.053,33.838,12.453,11.857,8.227,23.236,22.775,34.659,83.148,37.733,9.137,29.779,44.759,29.597,22.7,14.751,9.588,11.471,15.407,13.904,7.961,8.71,8.427,7.41,7.624,2014
MYS,Malaysia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.724,9.7,5.834,3.704,3.904,2.587,0.35,0.737,0.29,2.557,3.043,4.328,4.778,3.547,3.687,3.468,3.479,2.655,5.293,2.731,1.551,1.427,1.793,1.074,1.42,3.039,3.621,2.027,5.429,0.597,1.72,3.174,2014
MDV,Maldives,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",27.877,11.1,-0.81,9.891,0.991,-9.158,9.1,11.7,6.484,7.164,15.542,12.5,16.857,20.126,3.386,5.488,6.244,7.579,-1.41,2.956,-1.178,0.673,0.927,-2.803,6.339,2.46,3.5,6.795,12.028,4.545,6.15,11.258,2014
MLI,Mali,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",20.25,12.717,3.852,10.5,10.714,9.078,-1.387,-14.936,8.948,-0.158,1.608,1.508,-5.907,-0.568,24.289,11.643,6.452,-0.673,4.053,-1.153,-0.743,5.174,4.867,-1.159,-3.109,6.414,1.519,1.456,9.121,2.217,1.289,3.051,2013
MLT,Malta,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2.692,11.61,5.817,-0.925,-0.443,-0.236,2.031,0.416,0.946,0.866,2.975,2.552,1.845,4.031,4.128,3.973,1.964,3.914,3.698,2.287,3.04,2.509,2.606,1.939,2.725,2.528,2.579,0.696,4.685,1.84,2.04,2.512,2013
MHL,Marshall Islands,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.016,3.486,5.253,2.637,14.675,0.478,1.768,5.353,2013
MRT,Mauritania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.629,10.142,9.37,4.128,6.544,4.681,4.625,8.032,4.074,3.254,4.715,3.896,5.152,10.368,12.126,6.239,7.254,7.45,2.137,6.262,5.686,2014
MUS,Mauritius,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",33.04,26.45,13.384,7.452,5.525,8.321,4.336,0.719,3.6,13.61,10.705,12.817,2.857,15.288,7.335,6.026,6.553,6.831,6.808,6.872,4.23,5.391,6.414,3.931,4.703,4.921,8.93,8.827,9.731,2.516,2.929,6.526,2013
MEX,Mexico,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",26.471,27.911,59.166,101.806,65.449,57.78,86.454,131.962,113.501,19.918,26.65,22.608,15.517,9.763,6.986,35.062,34.35,20.597,15.916,16.565,9.486,6.367,5.037,4.551,4.694,3.99,3.633,3.969,5.13,5.296,4.156,3.406,2014
FSM,Micronesia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.796,2.667,1.633,1.919,1.839,1.317,-0.159,-0.245,1.745,4.087,4.396,3.639,6.554,7.708,3.72,4.271,2013
MDA,Moldova,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,788.503,329.636,30.216,23.506,11.773,7.696,39.262,31.206,9.641,5.219,11.667,12.426,11.851,12.707,12.382,12.704,0.006,7.358,7.65,2013
MNG,Mongolia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,120.2,202.5,268.4,87.565,56.77,46.831,36.579,9.364,7.562,11.583,6.228,0.923,5.139,7.909,12.457,4.486,8.167,26.806,6.267,10.165,7.683,2014
MNE,Montenegro,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,94.877,23.729,19.701,7.502,3.099,3.446,2.116,3.365,8.985,3.597,0.657,3.083,2014
MAR,Morocco,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.408,12.493,10.528,6.208,12.448,7.729,8.734,2.699,2.369,3.138,6.026,8.991,5.74,5.183,5.142,6.124,2.987,1.041,2.745,0.69,1.923,0.613,2.779,1.163,1.493,0.983,3.285,2.036,3.891,0.972,0.994,0.907,2013
MOZ,Mozambique,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",2,4.2,17.695,28.198,30.044,30.785,40.491,164.115,58.507,42.076,43.723,33.258,45.076,42.255,63.123,47.668,48.491,7.36,1.487,2.874,12.713,9.061,16.769,13.455,12.634,6.428,13.245,8.161,10.326,3.255,12.699,10.351,2014
MMR,Myanmar,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,49.136,10.899,-1.723,34.503,58.104,24.948,3.757,10.741,26.328,30.935,11.543,2.246,8.222,2.766,2014
NAM,Namibia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11.904,17.73,8.533,10.759,10.01,8.007,8.825,6.206,8.577,9.268,10.212,12.716,7.215,4.137,2.282,4.961,6.548,9.095,9.452,4.875,5.006,2012
NPL,Nepal,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.8,13.447,10.381,14.197,6.214,4.127,15.854,13.285,11.024,8.078,8.926,7.943,21.061,8.871,8.951,7.677,7.179,8.101,8.326,11.379,3.393,2.435,2.896,4.743,3.963,4.539,7.963,6.203,6.687,12.622,9.523,9.613,2014
NLD,Netherlands,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,6.8,5.9,2.9,3.4,2.3,0,-1,0.5,1.1,2.5,3.1,3.2,2.6,2.8,1.675,1.429,1.858,1.773,2.035,2.341,5.111,3.866,2.236,1.38,1.502,1.651,1.583,2.21,0.974,0.93,2.477,2014
NZL,New Zealand,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",17.079,15.451,16.126,7.445,6.129,15.38,13.221,15.762,6.351,5.738,6.091,2.61,0.983,1.31,1.757,3.746,2.292,1.197,1.274,-0.15,2.639,2.63,2.648,1.748,2.317,3.038,3.362,2.377,3.959,2.116,2.302,4.028,2014
NIC,Nicaragua,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",35.135,23.8,28.5,33.6,141.3,571.4,885.2,"13,109.50","4,775.20","7,428.70","3,004.10",116.6,21.9,13.5,3.7,11.118,11.651,9.189,13.046,11.212,11.547,7.357,3.75,5.302,8.47,9.599,9.14,11.127,19.826,3.687,5.455,8.082,2014
NER,Niger,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.325,24.3,10.4,1.621,8.412,-1.07,-3.245,-6.639,0.599,-0.818,-2.026,1.5,-5.911,-0.327,35.534,10.859,5.339,2.928,4.546,-2.312,2.923,3.958,2.674,-1.793,0.407,7.823,0.054,0.057,11.294,4.298,-2.786,2.944,2014
NGA,Nigeria,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.97,20.555,5.882,22.222,40.909,3.226,6.25,11.765,34.211,49.02,7.895,12.195,44.565,57.143,57.416,72.729,29.291,10.673,7.862,6.618,6.938,18.869,12.883,14.033,15.001,17.856,8.218,5.413,11.581,12.543,13.72,10.841,2014
NOR,Norway,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.912,13.657,11.322,8.415,6.31,5.65,7.194,8.722,6.681,4.54,4.125,3.424,2.348,2.285,1.397,2.448,1.248,2.579,2.267,2.333,3.086,3.017,1.288,2.475,0.465,1.522,2.332,0.729,3.766,2.167,2.399,1.301,2014
OMN,Oman,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",10.011,6.4,2.538,-2.074,-7.358,-3.971,7.644,2.561,1.589,1.564,10.011,4.6,0.956,1.136,-0.655,-1.131,0.496,-0.36,0.429,0.512,-1.197,-0.841,-0.286,0.185,0.757,1.861,3.204,5.892,12.56,3.537,3.256,4.032,2014
PAK,Pakistan,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",11.927,11.949,5.862,6.446,6.056,5.564,3.467,4.692,8.835,7.882,9.051,12.628,4.849,9.826,11.272,13.023,10.788,11.806,7.809,5.994,3.464,4.627,2.432,3.225,4.027,9.257,8.01,7.828,10.779,17.632,10.104,13.661,2014
PLW,Palau,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.797,-1.218,-0.634,5.76,3.196,4.827,2.986,9.959,4.697,1.094,2.633,2014
PAN,Panama,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.808,7.3,4.251,2.103,1.583,1.027,-0.066,0.996,0.359,0.116,0.769,1.547,1.751,0.478,1.332,0.939,1.264,1.255,0.628,1.3,1.446,0.314,0.998,0.058,0.466,2.868,2.458,4.169,8.759,2.411,3.49,5.876,2014
PNG,Papua New Guinea,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.064,8.054,5.535,7.902,7.421,3.71,5.454,3.337,5.445,4.48,6.953,6.966,4.31,4.974,2.849,17.281,11.632,3.943,13.59,14.932,15.596,9.298,11.799,14.709,2.159,1.781,2.368,0.911,10.767,6.913,5.102,4.441,2013
PRY,Paraguay,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",26.601,26.601,26.601,26.601,26.601,26.601,26.601,26.601,26.601,26.601,38.162,24.275,15.105,18.277,20.596,13.387,9.798,6.95,11.554,6.751,8.984,7.268,10.513,14.224,4.327,6.807,9.591,8.129,10.155,2.592,4.651,8.254,2013
PER,Peru,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",59.145,75.433,64.46,111.149,110.209,163.398,77.921,85.846,666.955,"3,398.27","7,481.69",409.527,73.527,48.436,23.735,11.13,11.549,8.547,7.255,3.469,3.759,1.975,0.192,2.261,3.662,1.618,2.001,1.779,5.788,2.935,1.53,3.37,2014
PHL,Philippines,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",18.201,13.083,8.979,5.252,46.673,23.215,-0.325,3.042,12.23,11.367,13.201,19.261,8.651,6.716,10.393,6.859,8.312,5.656,9.361,6.162,6.569,5.403,2.723,2.269,4.791,6.595,5.467,2.942,8.184,4.213,3.784,4.718,2014
POL,Poland,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",9.4,21.207,100.83,22.118,75.649,15.107,17.793,25.23,60.2,251.1,585.8,70.3,43,35.3,32.2,27.875,19.9,14.9,11.8,7.3,10.1,5.5,1.9,0.842,3.492,2.133,1.033,2.492,4.217,3.45,2.583,4.267,2013
PRT,Portugal,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",5.862,21.152,22.73,25.106,29.3,19.335,11.666,9.402,9.58,12.611,13.37,11.428,8.863,5.93,4.971,3.969,2.934,1.892,2.214,2.168,2.804,4.41,3.678,3.258,2.509,2.127,3.043,2.423,2.651,-0.903,1.389,3.557,2014
QAT,Qatar,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",6.838,8.46,5.7,2.696,1.142,1.129,1.897,4.491,4.822,3.3,3.012,4.4,3.1,-0.8,1.3,3,7.3,2.5,2.9,2.3,1.7,1.5,0.1,2.266,6.795,8.852,11.817,13.636,15.2,-4.948,-2.374,1.871,2014
ROU,Romania,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1.523,2.2,16.928,4.686,-0.32,-0.2,0.7,1.1,2.6,0.9,127.9,161.121,210.386,256.105,136.742,32.272,38.809,154.763,59.097,45.804,45.667,34.452,22.159,15.311,11.855,8.995,6.591,4.834,7.846,5.584,6.113,5.795,2014
RUS,Russia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,874.622,307.634,197.471,47.742,14.767,27.675,85.742,20.776,21.461,15.783,13.666,10.887,12.683,9.679,9.007,14.108,11.654,6.854,8.443,2014
RWA,Rwanda,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.195,6.438,12.613,6.629,5.359,1.729,-1.1,4.146,2.913,1.038,4.202,19.6,9.5,14.891,47.347,48.249,13.434,11.689,6.842,-2.423,3.901,3.359,1.981,7.445,11.98,9.122,8.831,9.081,15.44,10.346,2.036,5.668,2014
WSM,Samoa,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",33.05,20.51,18.3,16.46,11.86,-32.033,2.682,11.161,3.192,12.25,8.483,-1.82,9.034,1.709,12.087,-2.926,5.418,6.9,5.4,0.8,-0.2,1.9,7.4,4.3,7.846,7.816,3.482,4.718,6.262,14.642,-0.201,2.875,2014
SMR,San Marino,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.429,1.687,2.095,2.474,4.096,2.418,2.595,1.999,2014
STP,São Tomé and Príncipe,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",0.216,11.483,0.4,7,3.2,0.1,13.9,25,44.277,42.886,42.248,46.48,33.697,25.5,51.16,36.8,42.047,69.049,42.105,11.011,11.011,9.219,10.13,9.793,13.285,17.152,23.075,18.55,31.991,16.957,13.339,14.321,2014
SAU,Saudi Arabia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",4.402,3.589,1.866,0.576,-0.676,-2.309,-3.121,-2.394,-0.35,1.151,-1.024,3.793,-0.886,1.229,1.325,5.229,0.207,-0.31,-0.311,-2.079,-1.062,-1.288,0.109,0.543,0.324,0.538,1.927,5.042,6.1,4.147,3.801,3.749,2014
SEN,Senegal,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8.837,5.779,17.384,11.707,11.742,13.041,6.122,-4.13,-1.823,0.449,0.325,-1.754,-0.007,-0.744,32.104,8.076,2.757,1.753,0.98,0.811,0.748,3.053,2.398,-0.048,0.515,1.707,2.114,5.863,6.335,-2.248,1.229,3.403,2011
SRB,Serbia,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,41.1,70,80.744,8.868,2.901,10.602,16.253,10.732,6.002,12.411,8.117,6.143,11.137,2014
SYC,Seychelles,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",13.516,10.512,-0.854,6.053,4.095,0.834,0.237,2.594,1.839,1.581,3.889,2.032,3.249,1.312,1.769,-0.253,-1.078,0.608,2.7,6.3,6.3,6,0.2,3.3,3.9,0.645,-1.865,-8.569,36.965,31.748,-2.4,2.559,2013
SLE,Sierra Leone,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.867,23.369,26.89,68.526,66.575,76.576,80.867,178.7,34.287,60.8,110.946,102.695,65.5,22.202,24.199,25.987,23.137,14.559,35.986,34.092,-0.918,2.568,-3.659,7.546,14.247,12.05,9.546,11.65,14.834,9.247,17.782,18.461,2014
SGP,Singapore,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",8.541,8.189,3.918,1.037,2.604,0.492,-1.38,0.483,1.523,2.294,3.45,3.44,2.244,2.291,3.095,1.725,1.379,2.023,-0.271,0.024,1.348,1.015,-0.392,0.487,1.672,0.468,0.963,2.105,6.628,0.597,2.823,5.248,2014
SVK,Slovak Republic,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13.464,9.891,5.766,5.995,6.692,10.51,12.17,7.149,3.477,8.429,7.449,2.788,4.263,1.899,3.945,0.93,0.698,4.081,2014
